# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.8983607197983627,2.748,4.919439638522631,0,5.0,-0.07124986843670925,180.0,0.0,0.0
 0.06839135896635527,1.9100110891184432,2.749002770950099,4.919439638522631,0.3419567948317764,5.0,-0.07124986843670925,180.0,-1.6848608182659068,0.0
 0.09672937742810588,1.921666814852561,2.7499962187513187,4.871694021549132,0.48364688714052934,4.999999999999998,-0.07065208209937884,180.0,-2.177565920405827,0.0
 0.11847962242566706,1.9333274781622265,2.7509803789614793,4.8243314292819655,0.5923981121283353,4.999999999999999,-0.07006517975425168,180.0,-2.5618057464800246,0.0
 0.13682017697016713,1.944992660208948,2.751955287138401,4.7773464912562345,0.6841008848508356,5.000000000000003,-0.06948896420802471,180.0,-2.8841524846858224,0.0
 0.15298179467079365,1.9566619421542348,2.752920978839904,4.73073392140843,0.7649089733539681,4.999999999999993,-0.0689232443961938,180.0,-3.164514751275817,0.0
 0.16759553764245294,1.9683349051595966,2.753877489623808,4.6844885162032615,0.8379776882122646,5.0,-0.06836783345730575,180.0,-3.4137749198167513,0.0
 0.1810361904455394,1.9800111303865422,2.754824855047934,4.63860515275812,0.9051809522276969,5.000000000000002,-0.06782255003321574,180.0,-3.638707345994877,2.271612970536064e-12
 0.19354787698679776,1.9916901989965812,2.755763110670102,4.593078787029658,0.9677393849339887,4.999999999999998,-0.06728721758084745,180.00000000000003,-3.843892587158776,-2.4184085552914836e-12
 0.2053001135426176,2.0033716921512226,2.7566922920481316,4.547904452050205,1.0265005677130878,4.999999999999997,-0.06676166404402259,180.0,-4.032612179347918,0.0
 0.2164162818873852,2.0150551910119754,2.757612434739844,4.5030772561954135,1.0820814094369258,4.999999999999988,-0.06624572216479245,180.0,-4.207320102607893,0.0
 0.22698949087627335,2.026740276740349,2.7585235743030587,4.4585923814673905,1.1349474543813665,5.0,-0.06573922941916663,180.0,-4.369913399220241,0.0
 0.23709204796769562,2.038426530497853,2.7594257462955962,4.414445081867196,1.185460239838478,5.000000000000011,-0.06524202729272548,180.0,-4.521897904843155,0.0
 0.24678143084235712,2.0501135334459963,2.7603189862752764,4.370630681747041,1.2339071542117854,4.999999999999997,-0.06475396159121338,180.0,-4.664495028399645,3.048627019920523e-12
 0.25610422082115386,2.0618008667462884,2.7612033297999194,4.327144574240131,1.2805211041057691,5.000000000000003,-0.06427488250041268,180.00000000000003,-4.798713448828923,-3.159874866305312e-12
 0.26509878884455035,2.073488111560238,2.7620788124273457,4.283982219699851,1.3254939442227516,5.0,-0.06380464411122921,180.0,-4.9253989147492385,0.0
 0.2737971859202515,2.085174849049355,2.7629454697153757,4.241139144183134,1.3689859296012572,4.999999999999994,-0.06334310474277774,180.0,-5.04526984400847,0.0
 0.28222650834458407,2.096860660375148,2.7638033372218285,4.198610937950225,1.4111325417229201,5.0,-0.0628901264599666,180.0,-5.158943394103162,0.0
 0.2904099057356501,2.1085451266991266,2.7646524505045256,4.156393254038264,1.4520495286782504,5.000000000000007,-0.062445574986196115,180.0,-5.2669549798367745,-3.57171784424214e-12
 0.2983673398527436,2.1202278291827996,2.765492845121286,4.114481806788516,1.4918366992637178,4.999999999999986,-0.06200932017196551,179.99999999999997,-5.369773129786265,3.6678730884934705e-12
 0.30611616560125876,2.1319083489876776,2.766324556629931,4.072872370496743,1.5305808280062936,5.000000000000007,-0.06158123480298039,180.0,-5.467811014987936,0.0
 0.3136715826383332,2.143586267275268,2.767147620588281,4.0315607779986,1.5683579131916658,4.999999999999993,-0.06116119618477494,180.0,-5.561435492170303,0.0
 0.3210469911467263,2.1552611652070808,2.7679620725541545,3.990542919350767,1.6052349557336314,5.000000000000022,-0.060749084381781976,180.0,-5.650974313133891,0.0
 0.3282542755150224,2.1669326239446254,2.768767948085373,3.949814740518075,1.641271377575112,5.000000000000015,-0.0603447832497533,180.0,-5.736721933229948,4.031586823347913e-12
 0.33530403301145206,2.178600224649411,2.769565282739756,3.909372242064354,1.6765201650572603,5.0,-0.05994817949158657,180.00000000000003,-5.818944233855457,-4.11805765223003e-12
 0.34220575994939645,2.190263548482947,2.7703541120751245,3.869211477895158,1.7110287997469824,5.000000000000024,-0.059559163713976813,180.0,-5.897882408705428,-4.202999272798783e-12
 0.3489680046193742,2.2019221766067423,2.7711344716492983,3.829328554012734,1.7448400230968715,5.000000000000033,-0.05917762947669188,179.99999999999997,-5.973756185179532,0.0
 0.35559849396175175,2.213575690182306,2.7719063970200972,3.789719627292939,1.7779924698087592,5.000000000000017,-0.058803473187963876,179.99999999999997,-6.046766515728153,8.737418390794948e-12
 0.3621042392881623,2.2252236703711477,2.7726699237453416,3.750380904293345,1.810521196440812,5.0,-0.058436595042931194,180.00000000000003,-6.117097847050498,-4.449662210078872e-12
 0.36849162513646927,2.2368656983347757,2.773425087382852,3.7113086400723856,1.8424581256823467,4.999999999999974,-0.05807689759868787,180.0,-6.184920043691705,0.0
 0.3747664844350783,2.248501355234701,2.7741719234904485,3.6724991370250732,1.873832422175392,5.0,-0.05772428655987536,180.0,-6.2503900253207,0.0
 0.3809341624690709,2.2601302222324318,2.774910467625951,3.633948743762016,1.9046708123453548,4.999999999999991,-0.05737867068566926,180.0,-6.313653179516501,0.0
